Date,CVX,UNH,XOM
2020-05-26,93.300003,294.890015,45.91
2020-05-27,93.900002,303.769989,46.240002
2020-05-28,90.870003,303.970001,45.040001
2020-05-29,91.699997,304.850006,45.470001
2020-06-01,92.790001,305.929993,46.279999
2020-06-02,94.690002,306.309998,47.310001
2020-06-03,97.18,305.350006,49.240002
2020-06-04,96.279999,298.079987,49.099998
2020-06-05,100.809998,311.850006,53.080002
2020-06-08,103.239998,309.480011,54.740002
2020-06-09,101.529999,309.209991,53.52
2020-06-10,97.580002,305.75,50.650002
2020-06-11,89.370003,283.730011,46.18
2020-06-12,92.389999,285.149994,47.169998
2020-06-15,91.230003,286.279999,47.139999
2020-06-16,94.029999,293.0,48.200001
2020-06-17,91.540001,292.600006,46.630001
2020-06-18,91.940002,291.480011,46.919998
2020-06-19,90.629997,291.23999,45.98
2020-06-22,91.589996,292.670013,46.419998
2020-06-23,91.440002,297.600006,46.700001
2020-06-24,87.639999,289.179993,44.5
2020-06-25,89.209999,296.220001,45.169998
2020-06-26,86.459999,286.880005,43.619999
2020-06-29,87.669998,289.76001,44.32
2020-06-30,89.230003,294.950012,44.720001
2020-07-01,87.620003,297.730011,43.709999
2020-07-02,88.309998,298.26001,44.080002
2020-07-06,88.57,302.809998,44.389999
2020-07-07,86.309998,296.649994,43.240002
2020-07-08,86.349998,298.359985,43.139999
2020-07-09,82.739998,291.160004,41.360001
2020-07-10,85.230003,291.230011,42.650002
2020-07-13,85.400002,299.709991,42.66
2020-07-14,88.349998,308.519989,44.07
2020-07-15,88.889999,304.070007,44.630001
2020-07-16,88.360001,307.149994,44.279999
2020-07-17,87.190002,306.529999,43.52
2020-07-20,85.269997,303.459991,42.5
2020-07-21,91.389999,305.109985,44.650002
2020-07-22,91.040001,306.709991,43.610001
2020-07-23,91.010002,302.970001,43.700001
2020-07-24,90.129997,300.790009,43.43
2020-07-27,91.040001,298.600006,44.07
2020-07-28,89.110001,299.929993,43.549999
2020-07-29,90.07,306.679993,44.029999
2020-07-30,86.269997,305.230011,41.869999
2020-07-31,83.940002,302.779999,42.080002
2020-08-03,84.809998,303.609985,42.25
2020-08-04,86.489998,304.5,43.470001
2020-08-05,87.199997,312.470001,43.849998
2020-08-06,87.470001,314.059998,43.639999
2020-08-07,86.800003,317.029999,43.439999
2020-08-10,89.730003,319.100006,44.509998
2020-08-11,89.620003,315.549988,44.970001
2020-08-12,90.720001,322.269989,44.09
2020-08-13,89.82,321.519989,43.009998
2020-08-14,90.349998,323.700012,43.200001
2020-08-17,90.769997,320.51001,42.639999
2020-08-18,87.629997,316.809998,42.43
2020-08-19,86.389999,315.399994,41.959999
2020-08-20,84.809998,313.329987,41.32
2020-08-21,85.080002,314.140015,41.009998
2020-08-24,87.199997,308.839996,42.220001
2020-08-25,86.129997,312.220001,40.880001
2020-08-26,84.779999,308.820007,40.009998
2020-08-27,84.910004,311.670013,39.740002
2020-08-28,85.629997,314.369995,40.689999
2020-08-31,83.93,312.549988,39.939999
2020-09-01,83.080002,312.829987,39.43
2020-09-02,83.190002,320.23999,39.189999
2020-09-03,82.279999,316.230011,39.110001
2020-09-04,81.93,312.0,39.080002
2020-09-08,78.970001,307.25,38.18
2020-09-09,80.029999,312.019989,37.950001
2020-09-10,78.150002,304.600006,37.0
2020-09-11,77.690002,301.480011,36.900002
2020-09-14,77.290001,308.570007,36.66
2020-09-15,76.349998,307.230011,36.27
2020-09-16,78.559998,306.519989,37.810001
2020-09-17,78.790001,304.980011,37.799999
2020-09-18,78.209999,308.019989,37.189999
2020-09-21,76.300003,299.190002,36.43
2020-09-22,75.529999,294.26001,35.529999
2020-09-23,71.949997,292.140015,34.389999
2020-09-24,71.800003,292.660004,34.32
2020-09-25,71.830002,302.5,34.639999
2020-09-28,73.93,303.230011,35.310001
2020-09-29,71.900002,304.149994,34.279999
2020-09-30,72.0,311.769989,34.330002
2020-10-01,70.419998,313.070007,33.130001
2020-10-02,71.190002,311.980011,32.98
2020-10-05,72.699997,318.149994,33.740002
2020-10-06,72.300003,314.450012,33.389999
2020-10-07,73.779999,323.170013,33.5
2020-10-08,75.220001,322.410004,35.259998
2020-10-09,74.0,327.839996,34.740002
2020-10-12,74.510002,329.970001,34.630001
2020-10-13,73.400002,331.420013,34.220001
2020-10-14,72.949997,321.850006,34.150002
2020-10-15,73.510002,324.570007,34.450001
2020-10-16,72.889999,329.899994,34.099998
2020-10-19,71.279999,324.220001,33.419998
2020-10-20,71.68,323.410004,33.700001
2020-10-21,70.870003,322.790009,33.16
2020-10-22,73.400002,325.730011,34.860001
2020-10-23,72.57,330.600006,34.16
2020-10-26,70.940002,323.059998,33.349998
2020-10-27,69.510002,320.51001,32.82
2020-10-28,66.879997,308.0,31.57
2020-10-29,68.800003,303.679993,32.970001
2020-10-30,69.5,305.140015,32.619999
2020-11-02,72.150002,312.100006,33.990002
2020-11-03,71.739998,321.350006,33.41
2020-11-04,71.769997,354.559998,33.23
2020-11-05,72.139999,354.399994,33.169998
2020-11-06,71.150002,347.459991,32.779999
2020-11-09,79.400002,350.0,36.93
2020-11-10,83.07,353.690002,36.860001
2020-11-11,82.459999,351.700012,36.48
2020-11-12,80.669998,354.410004,35.23
2020-11-13,83.029999,355.670013,36.080002
2020-11-16,88.959999,356.820007,38.16
2020-11-17,87.040001,352.100006,38.669998
2020-11-18,84.279999,344.51001,37.209999
2020-11-19,85.730003,337.0,37.400002
2020-11-20,85.790001,334.700012,36.939999
2020-11-23,91.029999,335.059998,39.360001
2020-11-24,95.620003,336.01001,41.98
2020-11-25,92.139999,333.190002,40.810001
2020-11-27,91.309998,337.940002,40.189999
2020-11-30,87.18,336.339996,38.130001
2020-12-01,87.449997,341.190002,38.5
2020-12-02,89.870003,347.559998,39.939999
2020-12-03,89.800003,348.679993,40.209999
2020-12-04,93.279999,349.890015,41.68
2020-12-07,90.760002,347.859985,40.900002
2020-12-08,91.540001,347.859985,42.240002
2020-12-09,90.440002,344.410004,42.799999
2020-12-10,93.349998,339.649994,44.009998
2020-12-11,92.449997,337.070007,43.799999
2020-12-14,89.440002,336.130005,42.220001
2020-12-15,89.370003,339.670013,43.040001
2020-12-16,88.690002,339.339996,43.700001
2020-12-17,88.410004,341.670013,43.48
2020-12-18,87.190002,338.380005,42.73
2020-12-21,86.089996,336.079987,41.950001
2020-12-22,84.360001,335.01001,41.240002
2020-12-23,85.690002,337.589996,41.77
2020-12-24,85.330002,340.790009,41.599998
2020-12-28,84.900002,345.950012,41.740002
2020-12-29,84.610001,347.350006,41.27
2020-12-30,85.330002,344.98999,41.599998
2020-12-31,84.449997,350.679993,41.220001
2021-01-04,84.709999,349.5,41.5
2021-01-05,87.0,344.799988,43.5
2021-01-06,89.800003,359.269989,44.610001
2021-01-07,90.220001,365.029999,44.959999
2021-01-08,91.080002,363.390015,45.459999
2021-01-11,91.599998,360.75,46.84
2021-01-12,93.339996,357.369995,47.880001
2021-01-13,93.25,355.040009,48.419998
2021-01-14,95.489998,350.529999,50.310001
2021-01-15,92.089996,351.299988,47.889999
2021-01-19,94.510002,352.190002,48.84
2021-01-20,95.379997,350.839996,49.529999
2021-01-21,92.010002,355.0,48.110001
2021-01-22,91.730003,347.549988,47.43
2021-01-25,90.900002,347.809998,46.900002
2021-01-26,89.360001,343.109985,45.869999
2021-01-27,88.199997,332.98999,45.349998
2021-01-28,89.019997,338.149994,46.060001
2021-01-29,85.199997,333.579987,44.84
2021-02-01,86.410004,334.0,44.919998
2021-02-02,87.059998,338.720001,45.630001
2021-02-03,88.959999,337.890015,47.419998
2021-02-04,89.0,329.320007,48.330002
2021-02-05,89.260002,324.51001,49.950001
2021-02-08,91.480003,324.339996,52.099998
2021-02-09,90.959999,329.630005,50.630001
2021-02-10,92.519997,333.399994,51.119999
2021-02-11,92.019997,333.070007,49.84
2021-02-12,92.550003,328.23999,50.52
2021-02-16,93.129997,324.619995,52.040001
2021-02-17,95.919998,326.859985,52.849998
2021-02-18,95.0,328.410004,52.02
2021-02-19,95.800003,324.579987,52.369999
2021-02-22,98.389999,327.640015,54.299999
2021-02-23,99.629997,329.51001,55.049999
2021-02-24,103.309998,332.209991,56.700001
2021-02-25,102.349998,328.869995,55.759998
2021-02-26,100.0,332.220001,54.369999
2021-03-01,102.050003,334.649994,56.400002
2021-03-02,102.440002,334.640015,56.07
2021-03-03,103.589996,332.869995,56.52
2021-03-04,104.5,333.809998,58.709999
2021-03-05,109.0,347.100006,60.93
2021-03-08,109.75,350.170013,60.869999
2021-03-09,109.5,351.980011,59.93
2021-03-10,111.370003,349.600006,61.77
2021-03-11,111.190002,353.100006,61.310001
2021-03-12,111.559998,356.019989,61.970001
2021-03-15,110.25,353.880005,60.389999
2021-03-16,107.639999,354.600006,59.110001
2021-03-17,108.029999,352.179993,59.369999
2021-03-18,104.120003,362.049988,56.810001
2021-03-19,103.379997,365.579987,56.490002
2021-03-22,102.540001,366.859985,55.91
2021-03-23,101.970001,368.5,55.220001
2021-03-24,104.699997,370.600006,56.34
2021-03-25,105.07,371.089996,56.18
2021-03-26,107.480003,376.480011,57.709999
2021-03-29,106.919998,379.059998,57.400002
2021-03-30,105.93,373.559998,56.689999
2021-03-31,104.790001,372.070007,55.830002
2021-04-01,105.75,367.070007,57.389999
2021-04-05,104.510002,370.179993,56.5
2021-04-06,103.580002,364.369995,56.34
2021-04-07,104.190002,365.640015,56.59
2021-04-08,103.019997,364.890015,56.0
2021-04-09,102.919998,376.299988,55.869999
2021-04-12,101.779999,376.279999,55.5
2021-04-13,102.239998,374.5,55.709999
2021-04-14,104.269997,375.630005,57.32
2021-04-15,103.419998,390.01001,56.98
2021-04-16,102.959999,391.01001,56.66
2021-04-19,103.260002,389.839996,56.48
2021-04-20,101.330002,396.529999,55.290001
2021-04-21,102.730003,398.809998,56.0
2021-04-22,100.949997,396.540009,55.27
2021-04-23,101.550003,400.309998,55.57
2021-04-26,101.519997,395.859985,55.68
2021-04-27,102.699997,394.5,56.41
2021-04-28,105.220001,394.589996,58.110001
2021-04-29,106.900002,401.549988,58.939999
2021-04-30,103.07,398.799988,57.240002
2021-05-03,105.529999,405.899994,58.82
2021-05-04,106.110001,411.339996,59.189999
2021-05-05,108.959999,412.5,60.970001
2021-05-06,109.019997,414.970001,61.549999
2021-05-07,110.019997,417.649994,62.43
2021-05-10,109.57,420.890015,62.580002
2021-05-11,106.699997,411.700012,60.59
2021-05-12,107.370003,405.369995,60.040001
2021-05-13,106.68,408.559998,59.299999
2021-05-14,109.470001,409.799988,60.77
2021-05-17,110.809998,408.630005,62.189999
2021-05-18,106.18,410.380005,60.43
2021-05-19,103.199997,409.5,58.98
2021-05-20,103.559998,408.640015,58.84
2021-05-21,104.120003,411.630005,58.919998
2021-05-24,105.599998,410.950012,59.610001
2021-05-25,103.870003,413.049988,58.259998
2021-05-26,104.120003,413.209991,58.939999
2021-05-27,103.010002,412.700012,58.560001
2021-05-28,103.790001,411.920013,58.369999
2021-06-01,106.650002,406.720001,60.459999
2021-06-02,108.080002,405.850006,60.939999
2021-06-03,107.589996,407.959991,61.18
2021-06-04,108.449997,405.640015,61.450001
2021-06-07,107.75,400.25,61.049999
2021-06-08,108.730003,401.73999,62.130001
2021-06-09,107.779999,401.100006,62.650002
2021-06-10,108.410004,401.48999,62.75
2021-06-11,107.910004,397.890015,62.169998
2021-06-14,107.970001,399.160004,62.07
2021-06-15,110.300003,400.279999,64.330002
2021-06-16,109.669998,397.25,64.099998
2021-06-17,107.07,397.350006,61.990002
2021-06-18,103.029999,389.369995,60.400002
2021-06-21,106.050003,398.070007,62.59
2021-06-22,106.400002,398.690002,63.790001
2021-06-23,106.269997,395.559998,64.260002
2021-06-24,107.139999,398.869995,64.519997
2021-06-25,107.300003,404.950012,64.660004
2021-06-28,103.989998,401.459991,63.009998
2021-06-29,103.760002,398.100006,62.619999
2021-06-30,104.739998,400.440002,63.080002
2021-07-01,106.209999,404.890015,63.259998
2021-07-02,106.07,409.359985,63.169998
2021-07-06,103.989998,410.26001,61.369999
2021-07-07,102.93,411.660004,60.41
2021-07-08,102.599998,409.950012,60.139999
2021-07-09,104.07,412.109985,61.23
2021-07-12,104.279999,416.040009,61.169998
2021-07-13,103.93,418.540009,60.880001
2021-07-14,101.970001,414.73999,59.529999
2021-07-15,101.300003,420.049988,58.950001
2021-07-16,98.620003,419.700012,57.32
2021-07-19,95.959999,409.059998,55.349998
2021-07-20,96.529999,412.970001,55.959999
2021-07-21,99.82,414.640015,57.759998
2021-07-22,98.82,415.769989,57.110001
2021-07-23,98.860001,417.700012,57.040001
2021-07-26,100.949997,413.540009,58.48
2021-07-27,100.610001,415.100006,57.830002
2021-07-28,101.18,409.170013,58.220001
2021-07-29,102.57,412.079987,58.93
2021-07-30,101.809998,412.220001,57.57
2021-08-02,101.629997,415.570007,57.580002
2021-08-03,102.599998,421.899994,58.200001
2021-08-04,100.300003,421.540009,56.84
2021-08-05,101.230003,411.190002,57.200001
2021-08-06,101.949997,415.119995,57.860001
2021-08-09,100.25,410.869995,57.200001
2021-08-10,102.080002,411.779999,58.18
2021-08-11,102.849998,407.73999,58.349998
2021-08-12,102.639999,405.959991,57.349998
2021-08-13,101.959999,409.670013,56.77
2021-08-16,100.919998,417.209991,55.939999
2021-08-17,100.730003,421.779999,55.560001
2021-08-18,96.699997,417.320007,54.389999
2021-08-19,94.290001,427.890015,52.73
2021-08-20,94.300003,429.709991,52.740002
2021-08-23,96.730003,425.359985,54.91
2021-08-24,97.839996,423.410004,55.360001
2021-08-25,98.510002,419.73999,55.459999
2021-08-26,97.220001,416.850006,54.709999
2021-08-27,98.639999,418.76001,55.77
2021-08-30,98.389999,418.299988,55.16
2021-08-31,96.769997,416.269989,54.52
2021-09-01,95.709999,417.350006,53.77
2021-09-02,97.709999,423.709991,55.080002
2021-09-03,97.489998,422.859985,54.869999
2021-09-07,97.059998,421.23999,54.549999
2021-09-08,96.389999,415.390015,54.049999
2021-09-09,96.0,414.549988,54.09
2021-09-10,96.07,403.910004,53.98
2021-09-13,97.970001,414.519989,55.369999
2021-09-14,96.199997,412.540009,54.580002
2021-09-15,98.239998,417.519989,56.419998
2021-09-16,97.32,416.839996,55.82
2021-09-17,96.760002,420.160004,55.16
2021-09-20,94.779999,412.700012,53.689999
2021-09-21,94.849998,412.339996,53.639999
2021-09-22,97.639999,408.700012,55.209999
2021-09-23,100.059998,408.029999,57.080002
2021-09-24,100.599998,407.079987,57.59
2021-09-27,102.970001,405.269989,59.299999
2021-09-28,103.360001,398.619995,59.919998
2021-09-29,103.330002,400.410004,59.880001
2021-09-30,101.449997,390.73999,58.82
2021-10-01,104.330002,392.429993,60.93
2021-10-04,104.720001,387.01001,61.720001
2021-10-05,105.860001,393.429993,61.619999
2021-10-06,104.93,394.25,60.490002
2021-10-07,105.68,404.700012,60.66
2021-10-08,108.050003,408.459991,62.18
2021-10-11,107.129997,404.98999,61.560001
2021-10-12,107.150002,403.23999,61.240002
2021-10-13,107.790001,403.549988,61.07
2021-10-14,108.809998,420.359985,62.0
2021-10-15,109.610001,428.070007,62.59
2021-10-18,109.559998,424.619995,62.560001
2021-10-19,111.699997,424.380005,63.5
2021-10-20,113.160004,435.089996,63.849998
2021-10-21,111.739998,442.279999,62.689999
2021-10-22,112.800003,449.160004,63.119999
2021-10-25,113.849998,449.48999,64.349998
2021-10-26,114.099998,454.640015,65.839996
2021-10-27,112.07,453.480011,64.129997
2021-10-28,113.120003,455.440002,64.309998
2021-10-29,114.489998,460.470001,64.470001
2021-11-01,114.529999,454.109985,65.629997
2021-11-02,113.830002,452.040009,64.82
2021-11-03,113.010002,457.329987,63.93
2021-11-04,113.510002,456.76001,64.410004
2021-11-05,114.739998,455.809998,65.019997
2021-11-08,115.150002,462.619995,65.720001
2021-11-09,116.0,464.350006,66.360001
2021-11-10,114.150002,459.899994,64.190002
2021-11-11,114.160004,457.390015,64.309998
2021-11-12,114.230003,458.98999,63.82
2021-11-15,116.82,450.799988,64.370003
2021-11-16,117.279999,449.619995,65.019997
2021-11-17,115.419998,448.950012,64.309998
2021-11-18,114.449997,449.470001,63.610001
2021-11-19,111.910004,440.0,60.669998
2021-11-22,113.910004,437.540009,61.509998
2021-11-23,116.300003,447.130005,63.130001
2021-11-24,117.190002,450.160004,63.48
2021-11-26,114.510002,439.910004,61.25
2021-11-29,114.849998,452.0,61.59
2021-11-30,112.870003,444.220001,59.84
2021-12-01,112.099998,444.339996,59.790001
2021-12-02,115.139999,446.019989,61.279999
2021-12-03,114.410004,449.320007,60.889999
2021-12-06,116.199997,460.109985,61.580002
2021-12-07,117.919998,464.730011,62.27
2021-12-08,118.449997,468.859985,62.450001
2021-12-09,118.139999,473.320007,62.610001
2021-12-10,118.339996,478.230011,63.009998
2021-12-13,115.879997,478.140015,61.630001
2021-12-14,116.220001,479.459991,61.540001
2021-12-15,115.559998,494.380005,61.27
2021-12-16,116.639999,492.859985,61.369999
2021-12-17,113.599998,487.119995,60.029999
2021-12-20,113.650002,483.730011,59.16
2021-12-21,115.470001,487.209991,60.5
2021-12-22,116.129997,494.130005,60.990002
2021-12-23,116.410004,495.380005,61.02
2021-12-27,118.790001,499.5,61.889999
2021-12-28,118.559998,502.940002,61.689999
2021-12-29,117.949997,505.579987,61.150002
2021-12-30,117.43,504.429993,60.790001
2021-12-31,117.349998,502.140015,61.189999
2022-01-03,119.260002,502.279999,63.540001
2022-01-04,121.43,490.899994,65.93
2022-01-05,122.220001,489.690002,66.75
2022-01-06,123.260002,469.649994,68.32
2022-01-07,125.029999,458.600006,68.879997
2022-01-10,125.110001,465.0,68.470001
2022-01-11,127.970001,469.0,71.349998
2022-01-12,127.330002,473.720001,71.139999
2022-01-13,126.800003,467.429993,70.629997
2022-01-14,128.960007,468.690002,71.870003
2022-01-18,129.380005,460.98999,73.080002
2022-01-19,128.910004,462.519989,73.110001
2022-01-20,128.449997,463.0,73.269997
2022-01-21,126.910004,461.170013,72.169998
2022-01-24,127.18,462.269989,72.790001
2022-01-25,132.589996,456.839996,74.93
2022-01-26,132.690002,458.429993,74.169998
2022-01-27,135.369995,461.600006,75.120003
2022-01-28,130.610001,466.059998,75.279999
2022-01-31,131.330002,472.570007,75.959999
2022-02-01,134.789993,468.410004,80.830002
2022-02-02,135.410004,479.779999,80.620003
2022-02-03,134.199997,488.769989,79.68
2022-02-04,135.880005,483.170013,81.410004
2022-02-07,138.550003,483.700012,82.389999
2022-02-08,136.440002,493.410004,80.260002
2022-02-09,137.789993,498.100006,79.0
2022-02-10,136.039993,486.720001,78.239998
2022-02-11,138.809998,478.130005,80.209999
2022-02-14,136.669998,474.399994,78.980003
2022-02-15,134.259995,478.230011,77.989998
2022-02-16,134.300003,480.049988,78.349998
2022-02-17,133.610001,470.339996,78.230003
2022-02-18,133.419998,467.809998,77.360001
2022-02-22,132.399994,462.51001,76.459999
2022-02-23,135.550003,459.619995,76.769997
2022-02-24,134.850006,455.890015,75.800003
2022-02-25,140.380005,475.75,77.839996
2022-02-28,144.0,475.869995,78.419998
2022-03-01,149.720001,476.25,79.169998
2022-03-02,154.139999,485.380005,80.529999
2022-03-03,156.220001,486.589996,81.040001
2022-03-04,158.649994,498.649994,84.089996
2022-03-07,162.039993,486.869995,87.120003
2022-03-08,170.529999,473.459991,87.779999
2022-03-09,166.270004,485.570007,82.790001
2022-03-10,170.820007,491.440002,85.360001
2022-03-11,170.899994,482.869995,84.919998
2022-03-14,166.720001,487.920013,81.879997
2022-03-15,158.279999,497.910004,77.220001
2022-03-16,157.710007,498.26001,76.93
2022-03-17,160.440002,507.019989,78.980003
2022-03-18,161.729996,506.119995,78.669998
2022-03-21,164.639999,507.660004,82.199997
2022-03-22,164.089996,505.320007,81.839996
2022-03-23,165.860001,503.230011,83.129997
2022-03-24,166.300003,513.460022,83.379997
2022-03-25,169.309998,513.030029,85.199997
2022-03-28,166.350006,513.200012,82.809998
2022-03-29,164.320007,510.730011,82.370003
2022-03-30,165.479996,520.820007,83.779999
2022-03-31,162.830002,509.970001,82.589996
2022-04-01,164.220001,512.590027,83.120003
2022-04-04,164.369995,510.019989,83.160004
2022-04-05,163.360001,517.76001,82.730003
2022-04-06,164.809998,531.75,83.650002
2022-04-07,167.100006,536.950012,85.050003
2022-04-08,169.929993,545.960022,86.839996
2022-04-11,165.559998,537.440002,83.849998
2022-04-12,169.009995,533.710022,85.599998
2022-04-13,171.669998,537.0,86.809998
2022-04-14,171.589996,534.820007,87.830002
2022-04-18,173.889999,534.080017,88.550003
2022-04-19,171.830002,537.700012,87.760002
2022-04-20,172.529999,546.01001,87.959999
2022-04-21,164.580002,537.440002,87.029999
2022-04-22,160.949997,520.940002,85.129997
2022-04-25,157.490005,524.27002,82.260002
2022-04-26,156.529999,513.780029,82.290001
2022-04-27,156.240005,513.809998,84.639999
2022-04-28,161.789993,524.419983,87.199997
2022-04-29,156.669998,508.549988,85.25
2022-05-02,159.75,501.149994,86.410004
2022-05-03,162.490005,499.619995,88.190002
2022-05-04,167.589996,507.619995,91.699997
2022-05-05,166.259995,494.720001,90.309998
2022-05-06,170.690002,499.619995,91.690002
2022-05-09,159.25,486.420013,84.459999
2022-05-10,160.779999,488.01001,85.019997
2022-05-11,163.160004,486.149994,86.790001
2022-05-12,164.710007,478.799988,86.300003
2022-05-13,167.869995,485.399994,88.860001
2022-05-16,173.009995,489.220001,90.949997
2022-05-17,174.029999,492.529999,92.110001
2022-05-18,168.059998,471.380005,90.650002
2022-05-19,166.860001,478.549988,91.139999
2022-05-20,167.820007,485.730011,91.860001
2022-05-23,171.720001,492.079987,93.889999
2022-05-24,172.639999,497.559998,94.400002
2022-05-25,175.410004,498.089996,96.300003
2022-05-26,176.589996,502.230011,96.639999
2022-05-27,178.279999,507.109985,97.589996
2022-05-31,174.660004,496.779999,96.0
2022-06-01,176.320007,492.549988,97.839996
2022-06-02,176.0,492.26001,97.669998
2022-06-03,177.600006,485.609985,99.089996
2022-06-06,176.830002,490.179993,98.839996
2022-06-07,180.199997,497.100006,103.370003
2022-06-08,181.130005,493.529999,104.589996
2022-06-09,177.520004,489.429993,102.330002
2022-06-10,175.399994,484.630005,100.459999
2022-06-13,167.330002,469.700012,95.849998
2022-06-14,167.550003,461.75,96.099998
2022-06-15,164.259995,464.329987,94.889999
2022-06-16,155.479996,456.089996,91.389999
2022-06-17,148.380005,452.059998,86.120003
2022-06-21,154.589996,480.320007,91.480003
2022-06-22,147.869995,489.679993,87.860001
2022-06-23,142.429993,499.809998,85.209999
2022-06-24,144.770004,495.640015,86.900002
2022-06-27,147.570007,505.660004,89.029999
2022-06-28,149.940002,508.440002,91.5
2022-06-29,146.979996,515.710022,88.120003
2022-06-30,144.779999,513.630005,85.639999
2022-07-01,146.509995,517.400024,87.550003
2022-07-05,142.660004,505.23999,84.809998
2022-07-06,140.779999,515.289978,83.279999
2022-07-07,143.520004,514.380005,85.940002
2022-07-08,142.770004,518.630005,86.080002
2022-07-11,141.509995,516.950012,85.639999
2022-07-12,138.919998,514.419983,84.5
2022-07-13,137.990005,501.23999,84.839996
2022-07-14,135.940002,502.429993,83.139999
2022-07-15,137.649994,529.75,84.540001
2022-07-18,139.580002,519.369995,86.099998
2022-07-19,144.610001,533.450012,88.269997
2022-07-20,146.520004,519.469971,89.239998
2022-07-21,145.399994,522.460022,87.75
2022-07-22,144.190002,521.409973,87.080002
2022-07-25,148.479996,529.469971,89.980003
2022-07-26,147.320007,531.590027,89.629997
2022-07-27,149.259995,534.609985,91.57
2022-07-28,150.389999,541.48999,92.639999
2022-07-29,163.779999,542.340027,96.93
2022-08-01,160.509995,535.380005,94.480003
2022-08-02,159.139999,535.460022,94.07
2022-08-03,155.360001,540.650024,91.019997
2022-08-04,151.139999,533.75,87.190002
2022-08-05,153.639999,535.059998,88.449997
2022-08-08,153.410004,536.599976,88.949997
2022-08-09,155.410004,537.26001,90.589996
2022-08-10,155.820007,537.719971,91.449997
2022-08-11,159.619995,532.859985,93.190002
2022-08-12,159.850006,543.700012,94.0
2022-08-15,156.809998,544.640015,92.32
2022-08-16,156.410004,546.119995,91.459999
2022-08-17,157.699997,545.0,92.199997
2022-08-18,159.020004,545.219971,94.379997
2022-08-19,157.690002,548.320007,94.080002
2022-08-22,156.899994,544.570007,94.010002
2022-08-23,161.990005,535.799988,98.0
2022-08-24,163.190002,536.460022,98.580002
2022-08-25,164.619995,541.570007,99.089996
2022-08-26,163.410004,529.25,97.870003
2022-08-29,164.630005,529.77002,100.120003
2022-08-30,160.619995,522.840027,96.309998
2022-08-31,158.059998,519.330017,95.589996
2022-09-01,155.539993,524.0,93.870003
2022-09-02,157.850006,516.349976,95.589996
2022-09-06,157.119995,517.679993,94.949997
2022-09-07,155.110001,521.679993,94.139999
2022-09-08,155.949997,527.51001,94.910004
2022-09-09,159.970001,524.340027,96.5
2022-09-12,162.5,531.25,97.610001
2022-09-13,159.410004,513.960022,95.330002
2022-09-14,163.270004,509.769989,97.669998
2022-09-15,160.619995,522.909973,94.830002
2022-09-16,156.449997,521.02002,93.209999
2022-09-19,156.899994,523.549988,93.199997
2022-09-20,156.279999,522.799988,92.440002
2022-09-21,155.009995,512.080017,90.949997
2022-09-22,154.889999,517.460022,90.57
2022-09-23,144.770004,513.609985,85.75
2022-09-26,140.960007,508.359985,83.980003
2022-09-27,141.020004,508.369995,85.739998
2022-09-28,145.779999,513.940002,88.860001
2022-09-29,144.770004,508.829987,88.68
2022-09-30,143.669998,505.040009,87.309998
2022-10-03,151.729996,515.51001,91.919998
2022-10-04,157.630005,523.169983,95.269997
2022-10-05,158.529999,527.070007,99.120003
2022-10-06,161.419998,519.130005,102.059998
2022-10-07,160.029999,504.850006,101.029999
2022-10-10,157.139999,498.859985,98.839996
2022-10-11,157.169998,499.809998,98.0
2022-10-12,157.639999,499.959991,98.43
2022-10-13,165.279999,509.910004,101.870003
2022-10-14,160.139999,513.130005,99.190002
2022-10-17,161.309998,521.880005,100.620003
2022-10-18,162.720001,522.210022,100.800003
2022-10-19,168.0,520.320007,103.790001
2022-10-20,168.960007,520.880005,103.93
2022-10-21,173.190002,533.72998,105.860001
2022-10-24,173.130005,541.599976,106.599998
2022-10-25,174.929993,540.219971,105.879997
2022-10-26,177.089996,543.169983,107.139999
2022-10-27,177.899994,541.799988,107.550003
2022-10-28,179.979996,551.23999,110.699997
2022-10-31,180.899994,555.150024,110.809998
2022-11-01,182.220001,547.309998,111.910004
2022-11-02,178.5,543.429993,109.610001
2022-11-03,181.130005,543.609985,111.099998
2022-11-04,183.419998,538.169983,112.309998
